real_ddG,predicted_ddG,index,set,Inner_Fold,Outer_Fold
-5.652566,-4.1614575,19,Training,2,1
-14.634608,-11.909427,322,Training,2,1
9.339688,9.117933,284,Training,2,1
14.662326,11.4445305,372,Training,2,1
-7.721544,-6.2108116,348,Training,2,1
12.982928,12.199288,646,Training,2,1
-11.243289,-5.5660644,386,Training,2,1
-10.456662,-9.163697,176,Training,2,1
-8.402198,-8.955584,181,Training,2,1
8.208399,7.2521815,268,Training,2,1
-5.269798,-6.3093333,87,Training,2,1
-9.738947,-8.053434,330,Training,2,1
8.911627,9.50033,644,Training,2,1
-12.287072,-11.418695,334,Training,2,1
-7.3929095,-7.6183553,0,Training,2,1
-8.412317,-7.290773,72,Training,2,1
-7.2991705,-5.8586254,570,Training,2,1
-9.485906,-8.522011,124,Training,2,1
-14.662326,-11.431675,83,Training,2,1
10.547015,9.154843,420,Training,2,1
9.234157,5.614226,53,Training,2,1
5.182881,7.232489,423,Training,2,1
6.8209686,9.369552,568,Training,2,1
-8.617138,-6.9577,81,Training,2,1
-2.6046152,-3.717673,69,Training,2,1
8.208399,9.250173,275,Training,2,1
-12.982928,-11.107839,313,Training,2,1
-13.121934,-10.886236,204,Training,2,1
-13.34199,-9.81643,133,Training,2,1
-11.880438,-10.834218,16,Training,2,1
9.081853,10.208491,418,Training,2,1
11.243289,11.91887,521,Training,2,1
10.206749,11.102916,675,Training,2,1
5.269798,5.2396355,437,Training,2,1
8.803132,10.789082,528,Training,2,1
7.828552,10.824548,666,Training,2,1
9.234157,6.4481597,52,Training,2,1
-13.121934,-7.3874097,231,Training,2,1
-10.373469,-5.8687177,585,Training,2,1
-7.828552,-9.881567,331,Training,2,1
-14.662326,-10.089263,166,Training,2,1
2.8103404,1.2903335,287,Training,2,1
9.985035,9.020566,294,Training,2,1
-11.366404,-4.8198504,650,Training,2,1
-11.582187,-8.409558,129,Training,2,1
9.647698,9.655449,569,Training,2,1
-13.121934,-10.27959,203,Training,2,1
-7.911209,-5.36995,104,Training,2,1
-3.7247381,-6.185336,633,Training,2,1
-10.547015,-8.290874,77,Training,2,1
-6.4123206,-7.2184043,587,Training,2,1
7.2991705,7.522492,86,Training,2,1
8.645655,9.230697,662,Training,2,1
-3.210377,-4.702687,214,Training,2,1
-8.208399,-8.15543,629,Training,2,1
7.168044,8.063043,356,Training,2,1
7.168044,8.41742,407,Training,2,1
8.28646,9.080404,648,Training,2,1
11.366404,8.643931,307,Training,2,1
-14.222214,-9.190274,291,Training,2,1
7.0493245,8.038487,409,Training,2,1
-6.498485,-7.779379,182,Training,2,1
6.516863,4.437691,428,Training,2,1
9.234157,3.234277,51,Training,2,1
3.2465277,2.2882955,379,Training,2,1
13.906964,15.30993,608,Training,2,1
-9.647698,-6.895227,431,Training,2,1
-5.8907046,-5.0687947,170,Training,2,1
-8.970435,-10.366771,326,Training,2,1
-11.582187,-9.656207,136,Training,2,1
-3.0970547,-3.6466212,92,Training,2,1
-6.4123206,-7.3373556,234,Training,2,1
-9.234157,-7.552482,142,Training,2,1
14.662326,12.353538,505,Training,2,1
-6.609324,-5.8806186,579,Training,2,1
8.010414,8.755641,432,Training,2,1
-13.121934,-7.582599,196,Training,2,1
-8.28646,-9.286365,305,Training,2,1
-9.234157,-4.7578707,395,Training,2,1
8.538893,2.969072,112,Training,2,1
-9.234157,-6.0833654,207,Training,2,1
4.5000463,4.4179993,564,Training,2,1
-2.5376084,-3.458783,67,Training,2,1
-12.901878,-9.399059,134,Training,2,1
-10.78479,-4.6399646,652,Training,2,1
12.04771,11.233262,363,Training,2,1
-14.662326,-10.578552,162,Training,2,1
11.200126,9.076351,493,Training,2,1
13.906964,10.519589,401,Training,2,1
-8.911627,-8.353243,301,Training,2,1
5.9894924,8.678153,390,Training,2,1
-9.809491,-8.488803,61,Training,2,1
-9.738947,-10.574174,335,Training,2,1
-9.8433695,-9.505643,175,Training,2,1
11.243289,5.61313,43,Training,2,1
11.366404,9.816184,658,Training,2,1
7.3929095,7.3658576,343,Training,2,1
-8.222192,-6.792546,433,Training,2,1
-14.222214,-7.830502,118,Training,2,1
3.9083438,7.7226644,527,Training,2,1
6.4123206,7.300874,577,Training,2,1
9.485906,8.606133,496,Training,2,1
5.8907046,5.667335,513,Training,2,1
-14.393232,-10.512207,79,Training,2,1
-5.8907046,-5.593017,571,Training,2,1
9.234157,8.712039,641,Training,2,1
-9.809491,-10.694156,130,Training,2,1
